movieId,userId,score,title,genres
8602,28,5.255014,Shadows (1959),Drama
293,28,5.191007,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
1131,28,5.1267776,Jean de Florette (1986),Drama|Mystery
181525,28,5.1138926,Das Himmler Projekt (2000),Documentary
151621,28,5.1138926,Looking for Grace (2015),Drama
142414,28,5.1138926,Dusty and Sweets McGee (1971),Crime|Drama
88957,28,5.1138926,"Young One, The (1960)",Drama
26151,28,5.1138926,Au Hasard Balthazar (1966),Crime|Drama
8583,28,5.1138926,"Clock, The (1945)",Adventure|Drama|Romance
7066,28,5.1138926,"Blue Kite, The (Lan feng zheng) (1993)",Drama
5508,188,4.962306,24 Hour Party People (2002),Comedy|Drama|Musical
3786,188,4.962306,But I'm a Cheerleader (1999),Comedy
6027,188,4.8683343,Dogfight (1991),Drama|Romance
1303,188,4.857972,"Man Who Would Be King, The (1975)",Adventure|Drama
6269,188,4.7847514,Stevie (2002),Documentary
337,188,4.77654,What's Eating Gilbert Grape (1993),Drama
1193,188,4.734908,One Flew Over the Cuckoo's Nest (1975),Drama
41566,188,4.6089535,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy
2731,188,4.5987887,"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama
25963,188,4.5379586,"Young and the Damned, The (Olvidados, Los) (1950)",Crime|Drama
202443,1048,4.4295454,The Invisible Life of Eurídice Gusmão (2019),Drama
134519,1048,4.4295454,Suspicious Truth (2015),Comedy
80648,1048,4.4295454,Lone Wolf and Cub: Baby Cart in the Land of Demons (Kozure Ôkami: Meifumadô) (1973),Action|Drama|Thriller
356,1048,4.384507,Forrest Gump (1994),Comedy|Drama|Romance|War
1223,1048,4.142044,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
6985,1048,4.1348653,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",Drama
25,1048,4.123008,Leaving Las Vegas (1995),Drama|Romance
2920,1048,4.0768304,Children of Paradise (Les enfants du paradis) (1945),Drama|Romance
140174,1048,4.064443,Room (2015),Drama
8645,1048,4.013425,"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Crime|Drama
6818,1411,5.189705,Come and See (Idi i smotri) (1985),Drama|War
1193,1411,4.915741,One Flew Over the Cuckoo's Nest (1975),Drama
55269,1411,4.6871214,"Darjeeling Limited, The (2007)",Adventure|Comedy|Drama
8957,1411,4.6136875,Saw (2004),Horror|Mystery|Thriller
3551,1411,4.5906878,Marathon Man (1976),Crime|Drama|Thriller
8636,1411,4.5690675,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
2959,1411,4.556151,Fight Club (1999),Action|Crime|Drama|Thriller
930,1411,4.5077925,Notorious (1946),Film-Noir|Romance|Thriller
8914,1411,4.474153,Primer (2004),Drama|Sci-Fi
122914,1411,4.4357357,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi
6818,1522,4.2459164,Come and See (Idi i smotri) (1985),Drama|War
2959,1522,4.0604095,Fight Club (1999),Action|Crime|Drama|Thriller
6281,1522,3.947855,Phone Booth (2002),Drama|Thriller
1084,1522,3.9407966,Bonnie and Clyde (1967),Crime|Drama
8957,1522,3.8927073,Saw (2004),Horror|Mystery|Thriller
6643,1522,3.8578732,Tokyo Story (Tôkyô monogatari) (1953),Drama
364,1522,3.8550847,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
55040,1522,3.8548448,Bitter Rice (Riso amaro) (1949),Drama
8772,1522,3.8548448,"Spy Who Came in from the Cold, The (1965)",Drama|Thriller
5971,1522,3.8280582,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy
59315,1617,4.254106,Iron Man (2008),Action|Adventure|Sci-Fi
1136,1617,4.07059,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
143385,1617,3.9842837,Bridge of Spies (2015),Drama|Thriller
147927,1617,3.9764268,Heart of a Dog (2015),Documentary
88646,1617,3.9764268,"Cairo Station (a.k.a. Iron Gate, The) (Bab el hadid) (1958)",Crime|Drama
81018,1617,3.9764268,"Illusionist, The (L'illusionniste) (2010)",Animation
3307,1617,3.913008,City Lights (1931),Comedy|Drama|Romance
2028,1617,3.8887093,Saving Private Ryan (1998),Action|Drama|War
1223,1617,3.8531358,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
58783,1617,3.7968912,Youth Without Youth (2007),Drama|Romance|Sci-Fi
1193,1668,4.889671,One Flew Over the Cuckoo's Nest (1975),Drama
6818,1668,4.6622343,Come and See (Idi i smotri) (1985),Drama|War
55269,1668,4.5892296,"Darjeeling Limited, The (2007)",Adventure|Comedy|Drama
2066,1668,4.5125065,Out of the Past (1947),Film-Noir
263007,1668,4.394225,Spider-Man: No Way Home (2021),Action|Adventure|Fantasy|Sci-Fi
293,1668,4.3222857,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
4710,1668,4.287876,"Shootist, The (1976)",Drama|Western
2731,1668,4.282515,"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama
3551,1668,4.261167,Marathon Man (1976),Crime|Drama|Thriller
7587,1668,4.2194986,"Samouraï, Le (Godson, The) (1967)",Crime|Drama|Thriller
118846,2704,4.9003987,The Beales of Grey Gardens (2006),Documentary
127108,2704,4.2637806,Brooklyn (2015),Drama|Romance
2409,2704,4.246716,Rocky II (1979),Action|Drama
1281,2704,4.1311555,"Great Dictator, The (1940)",Comedy|Drama|War
904,2704,4.0857286,Rear Window (1954),Mystery|Thriller
3788,2704,4.0138354,Blow-Up (Blowup) (1966),Drama|Mystery
1193,2704,3.9786398,One Flew Over the Cuckoo's Nest (1975),Drama
121,2704,3.9333506,"Boys of St. Vincent, The (1992)",Drama
72037,2704,3.9199574,Darkness/Light/Darkness (Tma/Svetlo/Tma) (1989),Animation|Comedy|Fantasy
26524,2704,3.913968,"Times of Harvey Milk, The (1984)",Documentary
6818,2806,5.0027637,Come and See (Idi i smotri) (1985),Drama|War
1193,2806,4.7085466,One Flew Over the Cuckoo's Nest (1975),Drama
8957,2806,4.5760827,Saw (2004),Horror|Mystery|Thriller
55269,2806,4.559389,"Darjeeling Limited, The (2007)",Adventure|Comedy|Drama
8636,2806,4.4751077,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
